Length: 90.0
Width: 85.0
Thickness: 0.2
Parameters: [(u'hippopede', (5.0, 5.0, 0.0, 2.4000000000000004, 2.2000000000000002), u'empty'), (u'hippopede', (15.0, 5.0, 90.0, 2.4000000000000004, 2.2000000000000002), u'empty'), (u'hippopede', (15.0, 15.0, 0.0, 2.4000000000000004, 2.2000000000000002), u'empty'), (u'hippopede', (5.0, 15.0, 90.0, 2.4000000000000004, 2.2000000000000002), u'empty')]
Displacement Force P4-x P4-y P2-x P2-y P1-x P1-y P3-x P3-y
0.000000000000000000e+00 -0.000000000000000000e+00 2.993756484985351562e+01 5.004676437377929688e+01 4.989941406250000000e+01 3.001802635192871094e+01 2.997732543945312500e+01 2.998849487304687500e+01 4.995171356201171875e+01 4.992011260986328125e+01
7.199999690055847168e-02 1.127261924743652344e+01 2.993756970669528528e+01 5.009198421239852905e+01 4.989952414943400072e+01 3.004506841115653515e+01 2.997721783554152353e+01 3.001553067006170750e+01 4.995177122969471384e+01 4.996512280032038689e+01
1.439999938011169434e-01 2.254523849487304688e+01 2.993757456353705493e+01 5.013720405101776123e+01 4.989963423636800144e+01 3.007211047038435936e+01 2.997711023162992205e+01 3.004256646707653999e+01 4.995182889737770893e+01 5.001013299077749252e+01
2.160000056028366089e-01 3.381785583496093750e+01 2.993757942037882458e+01 5.018242388963699341e+01 4.989974432330927812e+01 3.009915252774953842e+01 2.997700262771104462e+01 3.006960226595401764e+01 4.995188656506070402e+01 5.005514317750930786e+01
2.879999876022338867e-01 4.509047698974609375e+01 2.993758427722059423e+01 5.022764372825622559e+01 4.989985441023600288e+01 3.012619458884000778e+01 2.997689502380671911e+01 3.009663806110620499e+01 4.995194423274369910e+01 5.010015337169170380e+01
3.600000143051147461e-01 5.636309432983398438e+01 2.993758913406236388e+01 5.027286356687545776e+01 4.989996449719183147e+01 3.015323664247989655e+01 2.997678741987328976e+01 3.012367385625839233e+01 4.995200190041214228e+01 5.014516356587409973e+01
4.320000112056732178e-01 6.763571166992187500e+01 2.993759399090413353e+01 5.031808340549468994e+01 4.990007458411855623e+01 3.018027870357036591e+01 2.997667981596896425e+01 3.015070965886116028e+01 4.995205956810968928e+01 5.019017374515533447e+01
5.040000081062316895e-01 7.890833282470703125e+01 2.993759884774408420e+01 5.036330324411392212e+01 4.990018467104528099e+01 3.020732076466083527e+01 2.997657221206463873e+01 3.017774546146392822e+01 4.995211723577813245e+01 5.023518395423889160e+01
5.759999752044677734e-01 9.018095397949218750e+01 2.993760370458767284e+01 5.040852308273315430e+01 4.990029475797200575e+01 3.023436282575130463e+01 2.997646460816031322e+01 3.020478124916553497e+01 4.995217490347567946e+01 5.028019413352012634e+01
6.480000019073486328e-01 1.014535675048828125e+02 2.993760856142762350e+01 5.045374292135238647e+01 4.990040484489873052e+01 3.026140487194061279e+01 2.997635700425598770e+01 3.023181705176830292e+01 4.995223257114412263e+01 5.032520434260368347e+01
7.200000286102294922e-01 1.127261886596679688e+02 2.993761341827121214e+01 5.049896275997161865e+01 4.990051493188366294e+01 3.028844693303108215e+01 2.997624940029345453e+01 3.025885283946990967e+01 4.995229023881256580e+01 5.037021452188491821e+01
7.919999957084655762e-01 1.239988098144531250e+02 2.993761827511116280e+01 5.054418259859085083e+01 4.990062501875218004e+01 3.031548899412155151e+01 2.997614179644733667e+01 3.028588864207267761e+01 4.995234790653921664e+01 5.041522470116615295e+01
8.640000224113464355e-01 1.352714233398437500e+02 2.993762313195475144e+01 5.058940243721008301e+01 4.990073510573711246e+01 3.034253105521202087e+01 2.997603419248480350e+01 3.031292444467544556e+01 4.995240557420765981e+01 5.046023488044738770e+01
