Length: 70.0
Width: 65.0
Thickness: 0.2
Parameters: [(u'sphylinder_projection', (5.0, 5.0, 0.0, 3.4000000000000004, 6.2000000000000002, 0.90000000000000002), u'Hard'), (u'sphylinder_projection', (15.0, 5.0, 90.0, 3.4000000000000004, 6.2000000000000002, 0.90000000000000002), u'Hard'), (u'sphylinder_projection', (15.0, 15.0, 0.0, 3.4000000000000004, 6.2000000000000002, 0.90000000000000002), u'Hard'), (u'sphylinder_projection', (5.0, 15.0, 90.0, 3.4000000000000004, 6.2000000000000002, 0.90000000000000002), u'Hard')]
Displacement Force P3-x P3-y P2-x P2-y P4-x P4-y P1-x P1-y
0.000000000000000000e+00 -0.000000000000000000e+00 2.999152183532714844e+01 4.003896331787109375e+01 3.999185562133789062e+01 3.003324508666992188e+01 1.991000366210937500e+01 2.993202972412109375e+01 2.996718597412109375e+01 1.993156433105468750e+01
1.400000005960464478e-01 5.240131020545959473e-01 2.999124908447265625e+01 4.011651229858398438e+01 3.999171829223632812e+01 3.010390090942382812e+01 1.991009712219238281e+01 3.000133132934570312e+01 2.996743011474609375e+01 1.999396514892578125e+01
2.800000011920928955e-01 1.032112836837768555e+00 2.999098396301269531e+01 4.019410324096679688e+01 3.999158859252929688e+01 3.017455291748046875e+01 1.991018486022949219e+01 3.007063674926757812e+01 2.996766471862792969e+01 2.005632209777832031e+01
4.199999868869781494e-01 1.524846196174621582e+00 2.999072837829589844e+01 4.027174377441406250e+01 3.999145889282226562e+01 3.024520111083984375e+01 1.991026687622070312e+01 3.013994789123535156e+01 2.996788978576660156e+01 2.011862945556640625e+01
5.600000023841857910e-01 2.002805471420288086e+00 2.999047851562500000e+01 4.034943389892578125e+01 3.999133682250976562e+01 3.031584358215332031e+01 1.991034507751464844e+01 3.020926475524902344e+01 2.996810913085937500e+01 2.018089103698730469e+01
6.999999880790710449e-01 2.466534614562988281e+00 2.999023818969726562e+01 4.042716979980468750e+01 3.999121856689453125e+01 3.038648033142089844e+01 1.991041946411132812e+01 3.027858543395996094e+01 2.996831893920898438e+01 2.024310493469238281e+01
8.399999737739562988e-01 2.916552066802978516e+00 2.999000358581542969e+01 4.050495910644531250e+01 3.999110412597656250e+01 3.045711326599121094e+01 1.991048812866210938e+01 3.034791374206542969e+01 2.996852302551269531e+01 2.030526924133300781e+01
9.800000190734863281e-01 3.353353500366210938e+00 2.998977661132812500e+01 4.058279800415039062e+01 3.999099349975585938e+01 3.052774047851562500e+01 1.991055488586425781e+01 3.041724586486816406e+01 2.996871757507324219e+01 2.036738204956054688e+01
1.120000004768371582e+00 3.777412414550781250e+00 2.998955726623535156e+01 4.066068649291992188e+01 3.999088668823242188e+01 3.059836196899414062e+01 1.991061782836914062e+01 3.048658561706542969e+01 2.996890640258789062e+01 2.042944335937500000e+01
1.259999990463256836e+00 4.189181804656982422e+00 2.998934364318847656e+01 4.073862838745117188e+01 3.999078369140625000e+01 3.066897773742675781e+01 1.991067695617675781e+01 3.055592918395996094e+01 2.996908760070800781e+01 2.049145317077636719e+01
1.399999976158142090e+00 4.589095115661621094e+00 2.998913764953613281e+01 4.081662368774414062e+01 3.999068450927734375e+01 3.073958778381347656e+01 1.991073417663574219e+01 3.062528228759765625e+01 2.996926307678222656e+01 2.055340766906738281e+01
1.539999961853027344e+00 4.977566242218017578e+00 2.998893737792968750e+01 4.089467620849609375e+01 3.999058532714843750e+01 3.081019210815429688e+01 1.991078758239746094e+01 3.069464111328125000e+01 2.996943283081054688e+01 2.061530876159667969e+01
1.679999947547912598e+00 5.354992866516113281e+00 2.998874282836914062e+01 4.097278213500976562e+01 3.999048995971679688e+01 3.088079071044921875e+01 1.991083717346191406e+01 3.076400566101074219e+01 2.996959495544433594e+01 2.067715454101562500e+01
1.820000052452087402e+00 5.721754074096679688e+00 2.998855590820312500e+01 4.105094909667968750e+01 3.999039459228515625e+01 3.095138168334960938e+01 1.991088676452636719e+01 3.083337974548339844e+01 2.996974945068359375e+01 2.073894309997558594e+01
1.960000038146972656e+00 6.078213691711425781e+00 2.998837280273437500e+01 4.112916946411132812e+01 3.999030303955078125e+01 3.102196502685546875e+01 1.991093444824218750e+01 3.090275955200195312e+01 2.996990013122558594e+01 2.080067253112792969e+01
2.099999904632568359e+00 6.424721717834472656e+00 2.998819732666015625e+01 4.120745086669921875e+01 3.999021148681640625e+01 3.109254264831542969e+01 1.991097831726074219e+01 3.097214698791503906e+01 2.997004318237304688e+01 2.086234474182128906e+01
2.240000009536743164e+00 6.761610984802246094e+00 2.998802566528320312e+01 4.128579330444335938e+01 3.999012374877929688e+01 3.116311454772949219e+01 1.991102218627929688e+01 3.104154205322265625e+01 2.997018241882324219e+01 2.092395591735839844e+01
2.380000114440917969e+00 7.089203357696533203e+00 2.998785972595214844e+01 4.136419677734375000e+01 3.999003601074218750e+01 3.123367881774902344e+01 1.991106414794921875e+01 3.111094665527343750e+01 2.997031402587890625e+01 2.098550605773925781e+01
2.519999980926513672e+00 7.407805442810058594e+00 2.998770141601562500e+01 4.144266128540039062e+01 3.998994827270507812e+01 3.130423545837402344e+01 1.991110610961914062e+01 3.118035697937011719e+01 2.997044181823730469e+01 2.104699516296386719e+01
2.660000085830688477e+00 7.717712402343750000e+00 2.998754692077636719e+01 4.152119064331054688e+01 3.998986053466796875e+01 3.137478446960449219e+01 1.991114616394042969e+01 3.124977684020996094e+01 2.997056198120117188e+01 2.110841941833496094e+01
2.799999952316284180e+00 8.019207954406738281e+00 2.998739624023437500e+01 4.159978485107421875e+01 3.998977661132812500e+01 3.144532585144042969e+01 1.991118621826171875e+01 3.131920433044433594e+01 2.997067832946777344e+01 2.116977882385253906e+01
2.940000057220458984e+00 8.312562942504882812e+00 2.998725318908691406e+01 4.167844390869140625e+01 3.998968887329101562e+01 3.151585960388183594e+01 1.991122627258300781e+01 3.138864135742187500e+01 2.997078895568847656e+01 2.123107337951660156e+01
3.079999923706054688e+00 8.598039627075195312e+00 2.998711395263671875e+01 4.175717163085937500e+01 3.998960113525390625e+01 3.158638763427734375e+01 1.991126632690429688e+01 3.145808601379394531e+01 2.997089385986328125e+01 2.129230117797851562e+01
3.220000028610229492e+00 8.875887870788574219e+00 2.998698043823242188e+01 4.183596420288085938e+01 3.998951339721679688e+01 3.165690612792968750e+01 1.991130828857421875e+01 3.152754020690917969e+01 2.997099494934082031e+01 2.135346221923828125e+01
3.359999895095825195e+00 9.146349906921386719e+00 2.998685073852539062e+01 4.191482925415039062e+01 3.998942947387695312e+01 3.172741699218750000e+01 1.991134834289550781e+01 3.159700202941894531e+01 2.997109031677246094e+01 2.141455268859863281e+01
3.500000000000000000e+00 9.409656524658203125e+00 2.998672676086425781e+01 4.199376296997070312e+01 3.998933792114257812e+01 3.179792022705078125e+01 1.991139030456542969e+01 3.166647338867187500e+01 2.997117996215820312e+01 2.147557258605957031e+01
