Length: 70.0
Width: 65.0
Thickness: 0.2
Parameters: [(u'sphylinder_projection', (5.0, 5.0, 0.0, 3.5, 5.5, 0.0), u'Hard'), (u'sphylinder_projection', (15.0, 5.0, 90.0, 3.5, 5.5, 0.0), u'Hard'), (u'sphylinder_projection', (15.0, 15.0, 0.0, 3.5, 5.5, 0.0), u'Hard'), (u'sphylinder_projection', (5.0, 15.0, 90.0, 3.5, 5.5, 0.0), u'Hard')]
Displacement Force P3-x P3-y P2-x P2-y P4-x P4-y P1-x P1-y
0.000000000000000000e+00 -0.000000000000000000e+00 2.989687728881835938e+01 3.998218154907226562e+01 3.992712783813476562e+01 3.006436347961425781e+01 2.008290672302246094e+01 3.007277870178222656e+01 3.014665222167968750e+01 2.000241279602050781e+01
8.399999886751174927e-02 1.917199939489364624e-01 2.989680862426757812e+01 4.003217315673828125e+01 3.992613220214843750e+01 3.010655403137207031e+01 2.008395957946777344e+01 3.011473655700683594e+01 3.014673233032226562e+01 2.003640747070312500e+01
1.679999977350234985e-01 3.811910748481750488e-01 2.989673995971679688e+01 4.008217620849609375e+01 3.992514419555664062e+01 3.014874458312988281e+01 2.008500862121582031e+01 3.015669441223144531e+01 3.014681243896484375e+01 2.007038688659667969e+01
2.520000040531158447e-01 5.684448480606079102e-01 2.989667129516601562e+01 4.013219833374023438e+01 3.992415618896484375e+01 3.019093704223632812e+01 2.008605384826660156e+01 3.019865417480468750e+01 3.014689445495605469e+01 2.010435295104980469e+01
3.359999954700469971e-01 7.535177469253540039e-01 2.989660263061523438e+01 4.018223190307617188e+01 3.992316818237304688e+01 3.023312950134277344e+01 2.008709716796875000e+01 3.024061203002929688e+01 3.014697456359863281e+01 2.013830375671386719e+01
4.199999868869781494e-01 9.364437460899353027e-01 2.989653396606445312e+01 4.023228073120117188e+01 3.992218780517578125e+01 3.027532005310058594e+01 2.008813858032226562e+01 3.028257179260253906e+01 3.014705276489257812e+01 2.017223930358886719e+01
5.040000081062316895e-01 1.117256164550781250e+00 2.989646530151367188e+01 4.028234481811523438e+01 3.992120742797851562e+01 3.031751251220703125e+01 2.008917617797851562e+01 3.032453155517578125e+01 3.014713287353515625e+01 2.020616149902343750e+01
5.879999995231628418e-01 1.295987486839294434e+00 2.989639854431152344e+01 4.033242034912109375e+01 3.992023086547851562e+01 3.035970497131347656e+01 2.009020996093750000e+01 3.036649131774902344e+01 3.014721298217773438e+01 2.024006843566894531e+01
6.719999909400939941e-01 1.472669720649719238e+00 2.989632987976074219e+01 4.038251495361328125e+01 3.991925430297851562e+01 3.040189933776855469e+01 2.009124183654785156e+01 3.040845108032226562e+01 3.014729118347167969e+01 2.027396011352539062e+01
7.559999823570251465e-01 1.647334218025207520e+00 2.989626312255859375e+01 4.043262100219726562e+01 3.991828536987304688e+01 3.044409179687500000e+01 2.009227180480957031e+01 3.045041084289550781e+01 3.014736938476562500e+01 2.030783843994140625e+01
