Length: 70.0
Width: 65.0
Thickness: 0.2
Parameters: [(u'sphylinder_projection', (5.0, 5.0, 0.0, 3.5, 5.5, 0.44955000000000001), u'Hard'), (u'sphylinder_projection', (15.0, 5.0, 90.0, 3.5, 5.5, 0.44955000000000001), u'Hard'), (u'sphylinder_projection', (15.0, 15.0, 0.0, 3.5, 5.5, 0.44955000000000001), u'Hard'), (u'sphylinder_projection', (5.0, 15.0, 90.0, 3.5, 5.5, 0.44955000000000001), u'Hard')]
Displacement Force P3-x P3-y P4-x P4-y P1-x P1-y P2-x P2-y
0.000000000000000000e+00 -0.000000000000000000e+00 3.003433609008789062e+01 3.987377929687500000e+01 2.000271606445312500e+01 2.998542022705078125e+01 2.991076850891113281e+01 1.993232727050781250e+01 4.007567977905273438e+01 2.997229385375976562e+01
-8.399999886751174927e-02 -2.096966803073883057e-01 3.003440856933593750e+01 3.982435607910156250e+01 2.000193405151367188e+01 2.994357681274414062e+01 2.991080665588378906e+01 1.989797973632812500e+01 4.007644653320312500e+01 2.993018341064453125e+01
-1.679999977350234985e-01 -4.220287799835205078e-01 3.003448295593261719e+01 3.977494430541992188e+01 2.000114822387695312e+01 2.990173339843750000e+01 2.991084671020507812e+01 1.986361885070800781e+01 4.007721710205078125e+01 2.988807487487792969e+01
-2.520000040531158447e-01 -6.370360255241394043e-01 3.003455543518066406e+01 3.972554397583007812e+01 2.000036048889160156e+01 2.985988998413085938e+01 2.991088485717773438e+01 1.982924652099609375e+01 4.007799148559570312e+01 2.984596443176269531e+01
-3.359999954700469971e-01 -8.547647595405578613e-01 3.003462982177734375e+01 3.967615890502929688e+01 1.999957084655761719e+01 2.981804656982421875e+01 2.991092491149902344e+01 1.979486083984375000e+01 4.007876586914062500e+01 2.980385208129882812e+01
-4.199999868869781494e-01 -1.075260400772094727e+00 3.003470230102539062e+01 3.962678146362304688e+01 1.999877738952636719e+01 2.977620315551757812e+01 2.991096305847167969e+01 1.976046180725097656e+01 4.007954406738281250e+01 2.976174163818359375e+01
-5.040000081062316895e-01 -1.298569202423095703e+00 3.003477668762207031e+01 3.957741928100585938e+01 1.999798202514648438e+01 2.973435974121093750e+01 2.991100120544433594e+01 1.972605323791503906e+01 4.008032226562500000e+01 2.971963119506835938e+01
-5.879999995231628418e-01 -1.524738669395446777e+00 3.003484916687011719e+01 3.952806472778320312e+01 1.999718475341796875e+01 2.969251632690429688e+01 2.991104125976562500e+01 1.969162940979003906e+01 4.008110427856445312e+01 2.967751884460449219e+01
-6.719999909400939941e-01 -1.753816962242126465e+00 3.003492355346679688e+01 3.947872543334960938e+01 1.999638366699218750e+01 2.965067291259765625e+01 2.991107940673828125e+01 1.965719413757324219e+01 4.008189010620117188e+01 2.963540649414062500e+01
-7.559999823570251465e-01 -1.985853433609008789e+00 3.003499794006347656e+01 3.942940139770507812e+01 1.999558067321777344e+01 2.960882759094238281e+01 2.991111755371093750e+01 1.962274551391601562e+01 4.008267974853515625e+01 2.959329414367675781e+01
-8.399999737739562988e-01 -2.220898628234863281e+00 3.003507232666015625e+01 3.938008499145507812e+01 1.999477386474609375e+01 2.956698417663574219e+01 2.991115760803222656e+01 1.958828544616699219e+01 4.008346939086914062e+01 2.955118179321289062e+01
-9.240000247955322266e-01 -2.459003925323486328e+00 3.003514671325683594e+01 3.933078384399414062e+01 1.999396514892578125e+01 2.952514076232910156e+01 2.991119575500488281e+01 1.955381202697753906e+01 4.008426284790039062e+01 2.950906944274902344e+01
-1.008000016212463379e+00 -2.700222015380859375e+00 3.003522109985351562e+01 3.928149414062500000e+01 1.999315261840820312e+01 2.948329544067382812e+01 2.991123390197753906e+01 1.951932525634765625e+01 4.008505630493164062e+01 2.946695518493652344e+01
-1.092000007629394531e+00 -2.944606781005859375e+00 3.003529548645019531e+01 3.923221588134765625e+01 1.999233818054199219e+01 2.944145011901855469e+01 2.991127204895019531e+01 1.948482513427734375e+01 4.008585739135742188e+01 2.942484283447265625e+01
-1.175999999046325684e+00 -3.192212820053100586e+00 3.003536987304687500e+01 3.918294906616210938e+01 1.999152183532714844e+01 2.939960479736328125e+01 2.991131019592285156e+01 1.945031356811523438e+01 4.008665466308593750e+01 2.938273048400878906e+01
-1.259999990463256836e+00 -3.443096637725830078e+00 3.003544425964355469e+01 3.913369750976562500e+01 1.999070167541503906e+01 2.935775947570800781e+01 2.991134834289550781e+01 1.941578865051269531e+01 4.008745956420898438e+01 2.934061622619628906e+01
-1.343999981880187988e+00 -3.697315454483032227e+00 3.003551864624023438e+01 3.908445739746093750e+01 1.998987770080566406e+01 2.931591415405273438e+01 2.991138648986816406e+01 1.938125038146972656e+01 4.008826446533203125e+01 2.929850387573242188e+01
-1.427999973297119141e+00 -3.954927682876586914e+00 3.003559303283691406e+01 3.903522872924804688e+01 1.998905372619628906e+01 2.927406883239746094e+01 2.991142463684082031e+01 1.934669876098632812e+01 4.008907318115234375e+01 2.925638961791992188e+01
-1.511999964714050293e+00 -4.215993404388427734e+00 3.003566932678222656e+01 3.898601150512695312e+01 1.998822402954101562e+01 2.923222160339355469e+01 2.991146278381347656e+01 1.931213378906250000e+01 4.008988571166992188e+01 2.921427536010742188e+01
-1.595999956130981445e+00 -4.480573654174804688e+00 3.003574371337890625e+01 3.893680953979492188e+01 1.998739242553710938e+01 2.919037628173828125e+01 2.991150093078613281e+01 1.927755546569824219e+01 4.009070205688476562e+01 2.917216300964355469e+01
-1.679999947547912598e+00 -4.748731613159179688e+00 3.003581809997558594e+01 3.888762283325195312e+01 1.998655891418457031e+01 2.914852714538574219e+01 2.991153907775878906e+01 1.924296569824218750e+01 4.009151840209960938e+01 2.913004875183105469e+01
-1.764000058174133301e+00 -5.020530700683593750e+00 3.003589439392089844e+01 3.883844375610351562e+01 1.998571968078613281e+01 2.910667991638183594e+01 2.991157722473144531e+01 1.920836067199707031e+01 4.009233856201171875e+01 2.908793640136718750e+01
-1.848000049591064453e+00 -5.296036720275878906e+00 3.003597068786621094e+01 3.878927993774414062e+01 1.998488044738769531e+01 2.906483268737792969e+01 2.991161346435546875e+01 1.917374420166015625e+01 4.009316253662109375e+01 2.904582405090332031e+01
-1.932000041007995605e+00 -5.575315952301025391e+00 3.003604507446289062e+01 3.874013137817382812e+01 1.998403739929199219e+01 2.902298355102539062e+01 2.991165161132812500e+01 1.913911247253417969e+01 4.009398651123046875e+01 2.900370979309082031e+01
-2.016000032424926758e+00 -5.858437538146972656e+00 3.003612136840820312e+01 3.869099044799804688e+01 1.998319053649902344e+01 2.898113441467285156e+01 2.991168785095214844e+01 1.910446739196777344e+01 4.009481430053710938e+01 2.896159744262695312e+01
-2.099999904632568359e+00 -6.145471096038818359e+00 3.003619766235351562e+01 3.864186477661132812e+01 1.998234176635742188e+01 2.893928337097167969e+01 2.991172599792480469e+01 1.906981086730957031e+01 4.009564590454101562e+01 2.891948509216308594e+01
-2.184000015258789062e+00 -6.436488151550292969e+00 3.003627395629882812e+01 3.859275436401367188e+01 1.998148918151855469e+01 2.889743423461914062e+01 2.991176223754882812e+01 1.903513908386230469e+01 4.009648132324218750e+01 2.887737274169921875e+01
-2.267999887466430664e+00 -6.731562137603759766e+00 3.003635025024414062e+01 3.854365539550781250e+01 1.998063278198242188e+01 2.885558319091796875e+01 2.991180038452148438e+01 1.900045394897460938e+01 4.009731674194335938e+01 2.883526039123535156e+01
-2.351999998092651367e+00 -7.030767440795898438e+00 3.003642654418945312e+01 3.849457168579101562e+01 1.997977447509765625e+01 2.881373023986816406e+01 2.991183662414550781e+01 1.896575546264648438e+01 4.009815597534179688e+01 2.879314804077148438e+01
-2.436000108718872070e+00 -7.334181308746337891e+00 3.003650474548339844e+01 3.844549942016601562e+01 1.997891235351562500e+01 2.877187728881835938e+01 2.991187286376953125e+01 1.893104171752929688e+01 4.009899902343750000e+01 2.875103759765625000e+01
-2.519999980926513672e+00 -7.641881465911865234e+00 3.003658103942871094e+01 3.839643859863281250e+01 1.997804832458496094e+01 2.873002433776855469e+01 2.991190910339355469e+01 1.889631652832031250e+01 4.009984588623046875e+01 2.870892715454101562e+01
-2.604000091552734375e+00 -7.953948020935058594e+00 3.003665733337402344e+01 3.834739303588867188e+01 1.997718048095703125e+01 2.868816947937011719e+01 2.991194534301757812e+01 1.886157608032226562e+01 4.010069656372070312e+01 2.866681671142578125e+01
-2.687999963760375977e+00 -8.270463943481445312e+00 3.003673553466796875e+01 3.829836273193359375e+01 1.997630882263183594e+01 2.864631462097167969e+01 2.991197967529296875e+01 1.882682228088378906e+01 4.010154724121093750e+01 2.862470626831054688e+01
-2.772000074386596680e+00 -8.591511726379394531e+00 3.003681373596191406e+01 3.824934387207031250e+01 1.997543334960937500e+01 2.860445976257324219e+01 2.991201591491699219e+01 1.879205513000488281e+01 4.010240173339843750e+01 2.858259773254394531e+01
-2.855999946594238281e+00 -8.917178153991699219e+00 3.003689193725585938e+01 3.820034027099609375e+01 1.997455596923828125e+01 2.856260299682617188e+01 2.991205024719238281e+01 1.875727272033691406e+01 4.010326004028320312e+01 2.854048919677734375e+01
-2.940000057220458984e+00 -9.247551918029785156e+00 3.003697013854980469e+01 3.815134811401367188e+01 1.997367477416992188e+01 2.852074432373046875e+01 2.991208648681640625e+01 1.872247695922851562e+01 4.010412216186523438e+01 2.849838066101074219e+01
-3.023999929428100586e+00 -9.582720756530761719e+00 3.003704833984375000e+01 3.810237121582031250e+01 1.997279167175292969e+01 2.847888565063476562e+01 2.991212081909179688e+01 1.868766593933105469e+01 4.010498809814453125e+01 2.845627212524414062e+01
-3.108000040054321289e+00 -9.922778129577636719e+00 3.003712654113769531e+01 3.805340576171875000e+01 1.997190475463867188e+01 2.843702507019042969e+01 2.991215515136718750e+01 1.865284156799316406e+01 4.010585403442382812e+01 2.841416549682617188e+01
-3.191999912261962891e+00 -1.026781940460205078e+01 3.003720474243164062e+01 3.800445556640625000e+01 1.997101402282714844e+01 2.839516448974609375e+01 2.991218948364257812e+01 1.861800384521484375e+01 4.010672378540039062e+01 2.837206077575683594e+01
-3.276000022888183594e+00 -1.061793899536132812e+01 3.003728485107421875e+01 3.795552062988281250e+01 1.997011947631835938e+01 2.835330390930175781e+01 2.991222190856933594e+01 1.858315086364746094e+01 4.010759735107421875e+01 2.832995414733886719e+01
-3.359999895095825195e+00 -1.097323608398437500e+01 3.003736495971679688e+01 3.790659713745117188e+01 1.996922111511230469e+01 2.831143951416015625e+01 2.991225624084472656e+01 1.854828262329101562e+01 4.010847473144531250e+01 2.828785133361816406e+01
-3.444000005722045898e+00 -1.133381271362304688e+01 3.003744316101074219e+01 3.785768890380859375e+01 1.996832084655761719e+01 2.826957511901855469e+01 2.991228866577148438e+01 1.851340103149414062e+01 4.010935592651367188e+01 2.824574661254882812e+01
-3.528000116348266602e+00 -1.169977188110351562e+01 3.003752326965332031e+01 3.780879592895507812e+01 1.996741676330566406e+01 2.822771072387695312e+01 2.991232109069824219e+01 1.847850608825683594e+01 4.011023712158203125e+01 2.820364379882812500e+01
-3.611999988555908203e+00 -1.207121944427490234e+01 3.003760528564453125e+01 3.775991821289062500e+01 1.996650886535644531e+01 2.818584251403808594e+01 2.991235351562500000e+01 1.844359588623046875e+01 4.011112594604492188e+01 2.816154289245605469e+01
-3.696000099182128906e+00 -1.244826507568359375e+01 3.003768539428710938e+01 3.771105194091796875e+01 1.996559715270996094e+01 2.814397430419921875e+01 2.991238594055175781e+01 1.840867042541503906e+01 4.011201477050781250e+01 2.811944389343261719e+01
-3.779999971389770508e+00 -1.283101844787597656e+01 3.003776550292968750e+01 3.766220092773437500e+01 1.996468353271484375e+01 2.810210418701171875e+01 2.991241645812988281e+01 1.837372970581054688e+01 4.011290740966796875e+01 2.807734298706054688e+01
-3.864000082015991211e+00 -1.321959400177001953e+01 3.003784751892089844e+01 3.761336135864257812e+01 1.996376609802246094e+01 2.806023406982421875e+01 2.991244888305664062e+01 1.833877563476562500e+01 4.011380386352539062e+01 2.803524589538574219e+01
-3.947999954223632812e+00 -1.361410903930664062e+01 3.003792953491210938e+01 3.756454086303710938e+01 1.996284294128417969e+01 2.801836013793945312e+01 2.991247940063476562e+01 1.830380630493164062e+01 4.011470413208007812e+01 2.799314880371093750e+01
-4.032000064849853516e+00 -1.401468181610107422e+01 3.003801155090332031e+01 3.751573181152343750e+01 1.996191787719726562e+01 2.797648620605468750e+01 2.991250801086425781e+01 1.826882362365722656e+01 4.011560821533203125e+01 2.795105361938476562e+01
-4.116000175476074219e+00 -1.442143535614013672e+01 3.003809547424316406e+01 3.746693801879882812e+01 1.996099090576171875e+01 2.793461036682128906e+01 2.991253852844238281e+01 1.823382377624511719e+01 4.011651229858398438e+01 2.790896034240722656e+01
-4.199999809265136719e+00 -1.483449554443359375e+01 3.003817749023437500e+01 3.741815567016601562e+01 1.996005821228027344e+01 2.789273262023925781e+01 2.991256713867187500e+01 1.819881057739257812e+01 4.011742401123046875e+01 2.786686706542968750e+01
